Country,EdLevel,LearnCode,Age,YearsCodePro,Salary
Sweden,Master’s degree,School,25-34 years old,4.0,51552.0
Spain,Bachelor’s degree,Online Resources,25-34 years old,5.0,46482.0
Germany,Master’s degree,Others,25-34 years old,6.0,77290.0
Canada,Bachelor’s degree,School,25-34 years old,6.0,46135.0
Germany,Master’s degree,School,35-44 years old,18.0,77831.0
Switzerland,Master’s degree,Others,25-34 years old,5.0,81319.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Bootcamp,45-54 years old,21.0,68507.0
Germany,Master’s degree,School,25-34 years old,10.0,60535.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,103000.0
Brazil,Bachelor’s degree,Bootcamp,35-44 years old,15.0,60480.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,35-44 years old,12.0,64630.0
Italy,Master’s degree,Others,35-44 years old,16.0,54049.0
Canada,Less than a Bachelors,Others,35-44 years old,10.0,71850.0
Spain,Master’s degree,School,35-44 years old,10.0,58373.0
United States of America,Bachelor’s degree,Online Resources,45-54 years old,15.0,105000.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,8.0,45564.0
Switzerland,Bachelor’s degree,Online Resources,25-34 years old,7.0,43908.0
Canada,Less than a Bachelors,Others,35-44 years old,17.0,95295.0
United States of America,PHD,Online Resources,25-34 years old,1.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,14.0,61398.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,10.0,108098.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,18-24 years old,3.0,64630.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,2.0,43239.0
France,Master’s degree,Online Resources,25-34 years old,2.0,45401.0
Austria,Master’s degree,Others,25-34 years old,8.0,59676.0
Israel,Less than a Bachelors,Others,35-44 years old,5.0,101916.0
United States of America,Bachelor’s degree,School,18-24 years old,1.0,54000.0
Canada,Master’s degree,Online Resources,35-44 years old,5.0,63530.0
Poland,Less than a Bachelors,Others,25-34 years old,3.0,48600.0
Netherlands,Master’s degree,Online Resources,35-44 years old,25.0,59454.0
Germany,Master’s degree,Online Resources,25-34 years old,11.0,97288.0
Russian Federation,Professional degree,School,25-34 years old,5.0,75492.0
France,Master’s degree,Online Resources,18-24 years old,5.0,49725.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,25.0,70047.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,4.0,98500.0
Switzerland,Master’s degree,School,25-34 years old,6.0,43908.0
Ukraine,Master’s degree,Bootcamp,25-34 years old,8.0,42000.0
Israel,Bachelor’s degree,School,25-34 years old,4.0,105072.0
United Kingdom of Great Britain and Northern Ireland,PHD,Others,45-54 years old,22.0,71093.0
Canada,Master’s degree,School,35-44 years old,3.0,98321.0
Italy,Less than a Bachelors,Online Resources,35-44 years old,14.0,54049.0
Russian Federation,Bachelor’s degree,School,25-34 years old,6.0,56616.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Bootcamp,55-64 years old,25.0,60752.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,35-44 years old,13.0,84019.0
United States of America,Master’s degree,School,25-34 years old,9.0,70000.0
United States of America,Less than a Bachelors,School,25-34 years old,5.0,90000.0
Netherlands,Bachelor’s degree,School,25-34 years old,6.0,50592.0
Australia,Master’s degree,School,35-44 years old,2.0,96874.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,14.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,14.0,103408.0
Russian Federation,PHD,School,25-34 years old,9.0,75492.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,8.0,84316.0
Russian Federation,Bachelor’s degree,Others,35-44 years old,26.0,43404.0
Belgium,Master’s degree,Online Resources,35-44 years old,9.0,75669.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,7.0,103408.0
France,Master’s degree,School,25-34 years old,5.0,44320.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,5.0,51888.0
